5.008765352046361530e-01,2.543327827595705942e-02,2.789785096717966402e-05,2.473052424179752844e-03,4.762059963751293090e-03,8.491147250576164740e-04,4.971332357186719619e-03
7.547818639640577892e-03,1.241327045290460153e-02,1.435178560795918358e-02,4.333397552522847418e-01,1.248597028134262356e-02,4.328238118989414011e-06,2.241205858406885578e-04
3.591012361040945011e-01,4.818606991555854369e-01,9.788814163458689358e-05,7.266868151713970871e-05,4.517143236212549096e-01,1.229196743366967455e-06,1.218114658239891242e-02
6.215449244293068908e-03,8.062730754682466416e-02,3.998665701443839850e-03,3.477544034721987559e-02,2.169426379425549445e-01,3.459614164045531765e-02,3.101710971035570585e-01
4.512349382711352413e-02,3.636821266041331269e-01,1.297519438515541169e-02,3.730085005910882545e-01,6.374191714106799272e-03,8.831041804471501111e-03,1.282711459910827398e-02
7.169054927492849187e-05,3.428931718453168782e-04,3.764155814514004161e-01,2.716408212023440627e-01,6.259698637275722399e-01,1.000000000000000000e+00,2.429388174357837438e-01
2.768339475965316617e-04,1.430876069673340536e-04,3.656323061749557762e-02,1.969693967070176225e-04,3.367797079379981628e-01,4.088318435343000004e-03,8.653532354019664516e-03
2.624722646294888172e-03,1.247719990055612058e-02,7.081694179108240748e-03,1.928588233660323004e-01,1.376997615807870222e-03,1.891254065572251441e-04,3.153779565551645988e-04
3.152453236263249581e-01,8.070995683770067555e-03,6.124990987825578359e-04,6.922257576942313362e-01,1.319791428746256920e-02,1.589564441029863063e-05,2.021635907464930328e-04
1.100300925196380508e-02,8.174606450588336667e-03,4.380642872991276637e-01,1.861337267502097639e-04,8.784111571513892464e-03,9.899982705147813283e-03,8.616444386059290885e-04
